RSID	CHR	POS	REF	ALT	MAF	Mean_DP	Mean_GQ	SD_DP	SD_GQ	Outlier_DP	Outlier_GQ	Discordant_Geno	Mendel_Error	Missing_Rate	HWE	ABHet	ABHom	GC	f1	f2	f3	f4	Probability	Good
chrX:140024724	chrX	140024724	T	C	0.0028899999999999998	40.30364	43.52601	7.56657	48.29206	0.0	0.54913	NA	0.0	0.2996	1.0	0.45833	1.0	0.355	3.0	3.65	1.2	251.0	NA	0
chrX:140012235	chrX	140012235	T	C,*	0.44606	23.44939	64.70954	9.16318	43.12171	0.34008	0.3527	NA	0.07463	0.02429	0.0	0.30746999999999997	0.52659	0.31	3.0	3.65	1.2	251.0	NA	0
chrX:140012237	chrX	140012237	T	C,*	0.44191	23.473679999999998	65.06639	9.23179	42.744640000000004	0.34008	0.34855	NA	0.07463	0.02429	0.0	0.30845	0.53708	0.31	3.0	3.65	1.2	251.0	NA	0
chrX:140012239	chrX	140012239	T	C,*	0.44008	23.408910000000002	64.90909	9.2058	42.232409999999994	0.34818000000000005	0.3595	NA	0.0597	0.02024	0.0	0.30984	0.5351	0.31	3.0	3.65	1.2	251.0	NA	0
chrX:140012241	chrX	140012241	T	C,*	0.43238000000000004	23.37247	64.72951	9.21904	41.91635	0.34818000000000005	0.36475	NA	0.07463	0.01215	0.0	0.31312	0.5505	0.31	3.0	3.65	1.2	251.0	NA	0
chrX:140012243	chrX	140012243	T	C,*	0.42623	23.336029999999997	63.823769999999996	9.12272	42.36396	0.34413	0.37705	NA	0.0597	0.01215	0.0	0.30577	0.56103	0.31	3.0	3.65	1.2	251.0	NA	0
chrX:140012245	chrX	140012245	T	C,*	0.42041000000000006	23.55061	63.36735	9.09505	41.96754	0.34413	0.38776	NA	0.0597	0.0081	0.0	0.30772	0.57428	0.31	3.0	3.65	1.2	251.0	NA	0
chrX:140012247	chrX	140012247	T	C,*	0.41836999999999996	23.65992	62.80816	9.22295	42.31788	0.33603	0.39184	NA	0.0597	0.0081	0.0	0.30163	0.57328	0.31	3.0	3.65	1.2	251.0	NA	0
chrX:140012251	chrX	140012251	T	C,*	0.37755	24.89069	60.32245	9.04147	41.18071	0.27126	0.43673	NA	0.02985	0.0081	0.0	0.29808	0.6541399999999999	0.31	3.0	3.65	1.2	251.0	NA	0
chrX:140012267	chrX	140012267	T	C,*	0.33943	25.65182	56.14228000000001	9.119810000000001	42.6539	0.24291	0.47967	NA	0.01493	0.00405	0.0	0.30032	0.70943	0.31	3.0	3.65	1.2	251.0	NA	0
chrX:140013740	chrX	140013740	T	A,*	0.23576999999999998	22.84211	36.76829	10.91334	31.95812	0.46558999999999995	0.72764	NA	0.02985	0.00405	0.0	0.64569	0.99566	0.495	3.0	3.65	1.2	251.0	NA	0
chrX:140013741	chrX	140013741	T	A,*	0.23481999999999997	23.34413	36.23887	11.15117	29.72837	0.45748999999999995	0.7327899999999999	NA	0.02985	0.0	0.0	0.61451	0.9960600000000001	0.495	3.0	3.65	1.2	251.0	NA	0
chrX:140017972	chrX	140017972	T	C,*	0.31098000000000003	26.43725	71.8374	11.47156	36.47585	0.29555	0.26423	NA	0.04478	0.00405	0.0	0.22888000000000003	0.08189	0.317	3.0	3.65	1.2	251.0	NA	0
chrX:140017978	chrX	140017978	T	C,*	0.3502	26.87854	72.84615	11.09097	35.34189	0.27935	0.25911	NA	0.02985	0.0	0.0	0.22125999999999998	0.15248	0.317	3.0	3.65	1.2	251.0	NA	0
chrX:140017980	chrX	140017980	T	C,*	0.34615	26.753040000000002	71.76518	11.09309	35.345929999999996	0.28745	0.2753	NA	0.04478	0.0	0.0	0.18988	0.15294000000000002	0.317	3.0	3.65	1.2	251.0	NA	0
chrX:140017982	chrX	140017982	T	C,*	0.3583	26.744940000000003	70.95951	11.11853	36.24317	0.27935	0.2834	NA	0.02985	0.0	0.0	0.19892	0.18241	0.317	3.0	3.65	1.2	251.0	NA	0
chrX:140018000	chrX	140018000	T	C,*	0.3502	26.91498	73.20648	10.920110000000001	34.09685	0.2753	0.25101	NA	0.02985	0.0	0.0	0.19217	0.14587999999999998	0.424	3.0	3.65	1.2	251.0	NA	0
chrX:140024846	chrX	140024846	G	C,*	0.26721	28.8583	84.88664	8.654630000000001	29.42987	0.14575	0.13765	NA	0.13433	0.0	0.0	0.65909	0.59413	0.355	3.0	3.65	1.2	251.0	NA	0
